warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
   229 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   230 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   231 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   232 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   233 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   234 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   235 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   236 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   237 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   238 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   239 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   240 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   241 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   242 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   243 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   244 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   245 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   246 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   247 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   248 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   249 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   250 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   251 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   252 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   253 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   254 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   255 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   256 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   257 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   258 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   259 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   260 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   261 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   262 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
