17	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
17	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
17	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
17	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
18	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
18	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
18	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
18	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
18	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
18	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
18	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
18	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
18	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
18	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
19	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
19	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
19	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
19	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
19	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
19	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
19	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
19	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
19	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
19	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
20	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
20	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
20	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
20	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
20	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
20	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
20	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
20	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
20	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
20	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
21	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
21	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
21	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
21	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
21	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
21	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
21	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
21	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
21	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
21	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
22	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
22	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
22	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
22	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
22	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
22	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
22	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
22	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
22	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
22	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
23	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
23	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
23	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
23	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
